Class count metrics,Wed., 19 Oct. 2022 20:36:01 EDT,,,,
Package,C,C(rec),Cp,Cp(rec),Ct,TC(rec)
org.jfree.chart,51,733,15,457,36,276
org.jfree.chart.annotations,34,34,20,20,14,14
org.jfree.chart.api,15,15,14,14,1,1
org.jfree.chart.axis,78,78,46,46,32,32
org.jfree.chart.block,34,34,22,22,12,12
org.jfree.chart.date,3,3,3,3,0,0
org.jfree.chart.encoders,6,6,6,6,0,0
org.jfree.chart.entity,24,24,16,16,8,8
org.jfree.chart.event,18,18,18,18,0,0
org.jfree.chart.imagemap,12,12,7,7,5,5
org.jfree.chart.internal,16,16,8,8,8,8
org.jfree.chart.labels,59,59,38,38,21,21
org.jfree.chart.legend,11,11,8,8,3,3
org.jfree.chart.plot,59,124,36,73,23,51
org.jfree.chart.plot.compass,22,22,11,11,11,11
org.jfree.chart.plot.dial,30,30,18,18,12,12
org.jfree.chart.plot.flow,2,2,1,1,1,1
org.jfree.chart.plot.pie,11,11,7,7,4,4
org.jfree.chart.renderer,29,154,15,87,14,67
org.jfree.chart.renderer.category,50,50,27,27,23,23
org.jfree.chart.renderer.xy,75,75,45,45,30,30
org.jfree.chart.swing,18,36,16,34,2,2
org.jfree.chart.swing.editor,18,18,18,18,0,0
org.jfree.chart.text,10,17,10,14,0,3
org.jfree.chart.text.format,7,7,4,4,3,3
org.jfree.chart.title,12,12,6,6,6,6
org.jfree.chart.urls,19,19,12,12,7,7
org.jfree.chart.util,10,10,10,10,0,0
org.jfree.data,42,311,27,198,15,113
org.jfree.data.category,11,11,7,7,4,4
org.jfree.data.flow,8,8,5,5,3,3
org.jfree.data.function,9,9,5,5,4,4
org.jfree.data.gantt,11,11,6,6,5,5
org.jfree.data.general,34,34,25,25,9,9
org.jfree.data.io,1,1,1,1,0,0
org.jfree.data.json,1,6,1,6,0,0
org.jfree.data.json.impl,5,5,5,5,0,0
org.jfree.data.resources,6,6,6,6,0,0
org.jfree.data.statistics,31,31,18,18,13,13
org.jfree.data.time,49,57,27,31,22,26
org.jfree.data.time.ohlc,8,8,4,4,4,4
org.jfree.data.xml,9,9,9,9,0,0
org.jfree.data.xy,86,86,52,52,34,34