Dependency metrics,Wed., 19 Oct. 2022 18:20:12 EDT,,,,,
org.jfree.chart.renderer.category.IntervalBarRenderer,0,17,206,2,44,9,1
org.jfree.chart.renderer.category.LayeredBarRenderer,0,16,206,1,1,10,1
org.jfree.chart.renderer.category.LevelRenderer,0,17,203,1,1,10,1
org.jfree.chart.renderer.category.LineAndShapeRenderer,0,16,203,11,55,11,5
org.jfree.chart.renderer.category.MinMaxCategoryRenderer,0,14,203,2,44,8,2
org.jfree.chart.renderer.category.ScatterRenderer,0,16,203,1,1,11,1
org.jfree.chart.renderer.category.StackedAreaRenderer,0,16,206,2,42,9,2
org.jfree.chart.renderer.category.StackedBarRenderer,0,22,207,3,44,11,2
org.jfree.chart.renderer.category.StandardBarPainter,0,5,206,3,43,4,2
org.jfree.chart.renderer.category.StatisticalBarRenderer,0,20,206,2,44,12,2
org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer,0,20,204,1,1,10,1
org.jfree.chart.renderer.category.WaterfallBarRenderer,0,22,206,2,42,11,2
org.jfree.chart.renderer.xy.AbstractXYItemRenderer,3,40,195,46,132,17,3
org.jfree.chart.renderer.xy.CandlestickRenderer,0,23,197,2,42,12,2
org.jfree.chart.renderer.xy.ClusteredXYBarRenderer,0,20,200,1,1,12,1
org.jfree.chart.renderer.xy.CyclicXYItemRenderer,0,12,207,0,0,6,0
org.jfree.chart.renderer.xy.CyclicXYItemRenderer.OverwriteDataSet,0,5,7,1,1,3,1
org.jfree.chart.renderer.xy.DefaultXYItemRenderer,0,1,199,1,1,1,1
org.jfree.chart.renderer.xy.DeviationRenderer,0,17,200,3,3,9,1
org.jfree.chart.renderer.xy.DeviationRenderer.State,0,2,21,2,4,2,1
org.jfree.chart.renderer.xy.DeviationStepRenderer,0,16,201,1,1,8,1
org.jfree.chart.renderer.xy.GradientXYBarPainter,2,5,199,5,52,4,2
org.jfree.chart.renderer.xy.HighLowRenderer,0,19,196,2,42,11,2
org.jfree.chart.renderer.xy.SamplingXYLineRenderer,0,16,197,0,0,7,0
org.jfree.chart.renderer.xy.SamplingXYLineRenderer.State,0,3,20,1,1,3,1
org.jfree.chart.renderer.xy.StackedXYAreaRenderer,0,23,199,1,1,12,1
org.jfree.chart.renderer.xy.StackedXYAreaRenderer.StackedXYAreaRendererState,0,2,20,1,2,2,1
org.jfree.chart.renderer.xy.StackedXYAreaRenderer2,0,19,197,2,41,12,2
org.jfree.chart.renderer.xy.StackedXYBarRenderer,0,23,200,1,1,12,1
org.jfree.chart.renderer.xy.StandardXYBarPainter,0,5,200,3,43,4,2
org.jfree.chart.renderer.xy.StandardXYItemRenderer,0,26,197,7,19,13,3
org.jfree.chart.renderer.xy.StandardXYItemRenderer.State,0,2,20,1,20,2,1
org.jfree.chart.renderer.xy.VectorRenderer,0,17,198,1,1,11,1
org.jfree.chart.renderer.xy.WindItemRenderer,0,12,197,2,42,6,2
org.jfree.chart.renderer.xy.XYAreaRenderer,0,26,197,4,43,13,2
org.jfree.chart.renderer.xy.XYAreaRenderer.XYAreaRendererState,0,2,20,1,44,2,1
org.jfree.chart.renderer.xy.XYAreaRenderer2,0,23,196,3,43,12,2
org.jfree.chart.renderer.xy.XYBarRenderer,2,32,199,10,52,14,3
org.jfree.chart.renderer.xy.XYBarRenderer.XYBarRendererState,0,2,20,2,53,2,1
org.jfree.chart.renderer.xy.XYBlockRenderer,0,20,199,1,1,10,1
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer,0,23,202,2,41,12,2
org.jfree.chart.renderer.xy.XYBubbleRenderer,0,18,196,2,42,11,2
org.jfree.chart.renderer.xy.XYDifferenceRenderer,0,27,196,1,1,14,1
org.jfree.chart.renderer.xy.XYDotRenderer,0,18,196,1,1,10,1
org.jfree.chart.renderer.xy.XYErrorRenderer,0,15,199,1,1,8,1
org.jfree.chart.renderer.xy.XYItemRendererState,0,3,19,37,141,3,2
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer,0,23,198,16,56,12,5
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer.State,0,3,20,6,59,3,1
org.jfree.chart.renderer.xy.XYShapeRenderer,0,23,199,1,1,12,1
org.jfree.chart.renderer.xy.XYSplineRenderer,0,15,201,1,1,8,1
org.jfree.chart.renderer.xy.XYSplineRenderer.FillType,0,0,0,2,2,0,1
org.jfree.chart.renderer.xy.XYSplineRenderer.XYSplineState,0,2,21,1,2,2,1
org.jfree.chart.renderer.xy.XYStepAreaRenderer,0,17,196,2,42,10,2
org.jfree.chart.renderer.xy.XYStepRenderer,0,19,199,2,42,10,2
org.jfree.chart.renderer.xy.YIntervalRenderer,0,20,196,1,1,12,1
org.jfree.chart.swing.AbstractOverlay,0,4,4,1,2,2,1
org.jfree.chart.swing.ApplicationFrame,0,0,0,0,0,0,0
org.jfree.chart.swing.ChartFrame,0,2,399,0,0,2,0
org.jfree.chart.swing.ChartMouseEvent,0,2,110,3,9,2,1
org.jfree.chart.swing.ChartPanel,2,27,398,6,7,7,1
org.jfree.chart.swing.CrosshairOverlay,0,16,403,1,1,8,1
org.jfree.chart.swing.DefaultSelectionZoomStrategy,0,2,3,1,8,2,1
org.jfree.chart.swing.MouseWheelHandler,2,7,398,1,7,4,1
org.jfree.chart.swing.NumberCellRenderer,0,0,0,1,1,0,1
org.jfree.chart.swing.OverlayChangeEvent,0,0,0,3,10,0,1
org.jfree.chart.swing.PolarChartPanel,0,5,399,0,0,4,0
org.jfree.chart.swing.UIUtils,0,1,1,0,0,1,0
org.jfree.chart.swing.editor.ChartEditorManager,0,5,248,1,8,3,1
org.jfree.chart.swing.editor.DefaultAxisEditor,3,10,132,2,16,3,1
org.jfree.chart.swing.editor.DefaultChartEditor,0,10,245,1,10,4,1
org.jfree.chart.swing.editor.DefaultChartEditorFactory,0,4,247,1,9,2,1
org.jfree.chart.swing.editor.DefaultLogAxisEditor,3,5,132,1,16,2,1
org.jfree.chart.swing.editor.DefaultNumberAxisEditor,3,6,132,1,16,2,1
org.jfree.chart.swing.editor.DefaultPlotEditor,0,16,241,2,12,6,1
org.jfree.chart.swing.editor.DefaultPolarPlotEditor,0,6,242,1,11,3,1
org.jfree.chart.swing.editor.DefaultTitleEditor,0,7,114,1,11,3,1
org.jfree.chart.swing.editor.DefaultValueAxisEditor,3,7,132,2,16,2,1
org.jfree.chart.swing.editor.FontChooserPanel,0,0,0,2,18,0,1
org.jfree.chart.swing.editor.FontDisplayField,0,0,0,2,18,0,1
org.jfree.chart.swing.editor.LCBLayout,0,0,0,7,18,0,1
org.jfree.chart.swing.editor.PaintSample,0,0,0,5,18,0,1
org.jfree.chart.swing.editor.StrokeChooserPanel,0,2,2,2,17,1,1
org.jfree.chart.swing.editor.StrokeSample,0,0,0,3,18,0,1
org.jfree.chart.text.AttributedStringUtils,0,0,0,2,540,0,2
org.jfree.chart.text.G2TextMeasurer,0,2,14,4,537,1,4
org.jfree.chart.text.TextAnchor,0,0,0,51,559,0,15
org.jfree.chart.text.TextBlock,3,7,13,10,547,4,6
org.jfree.chart.text.TextBlockAnchor,0,0,0,12,550,0,5
org.jfree.chart.text.TextBox,0,6,17,3,52,4,1
org.jfree.chart.text.TextFragment,3,5,13,3,547,3,2
org.jfree.chart.text.TextLine,3,4,13,4,547,3,2
org.jfree.chart.text.TextUtils,3,6,13,33,547,2,13
org.jfree.chart.text.format.HMSNumberFormat,0,0,0,1,1,0,1
org.jfree.chart.text.format.HexNumberFormat,0,0,0,0,0,0,0
org.jfree.chart.text.format.LogFormat,0,1,1,1,1,1,1
org.jfree.chart.text.format.RelativeDateFormat,0,1,1,1,1,1,1
org.jfree.chart.title.CompositeTitle,0,11,110,2,44,5,2
org.jfree.chart.title.DateTitle,0,6,110,1,1,2,1
org.jfree.chart.title.ImageTitle,0,9,110,0,0,4,0
org.jfree.chart.title.ShortTextTitle,0,8,110,1,1,4,1
org.jfree.chart.title.TextTitle,26,24,109,14,536,8,5
org.jfree.chart.title.Title,26,12,109,19,536,5,8
org.jfree.chart.urls.CustomCategoryURLGenerator,0,3,8,1,1,3,1
org.jfree.chart.urls.CustomPieURLGenerator,0,3,8,2,2,3,2
org.jfree.chart.urls.CustomXYURLGenerator,0,3,8,1,1,3,1
org.jfree.chart.urls.StandardCategoryURLGenerator,0,4,8,11,44,4,4
org.jfree.chart.urls.StandardPieURLGenerator,0,3,8,3,42,3,3
org.jfree.chart.urls.StandardXYURLGenerator,0,3,8,4,44,3,3
org.jfree.chart.urls.StandardXYZURLGenerator,0,3,11,1,41,2,1
org.jfree.chart.urls.TimeSeriesURLGenerator,0,4,8,2,2,4,2
org.jfree.chart.util.AttrStringUtils,0,2,2,3,537,2,1
org.jfree.chart.util.DefaultShadowGenerator,0,3,3,4,43,2,3
org.jfree.chart.util.DirectionalGradientPaintTransformer,0,1,1,0,0,1,0
org.jfree.chart.util.ExportUtils,0,2,2,0,0,2,0
org.jfree.chart.util.GradientPaintTransformType,0,0,0,10,542,0,7
org.jfree.chart.util.PaintAlpha,0,1,1,0,0,0,0
org.jfree.chart.util.StandardGradientPaintTransformer,0,3,3,16,541,2,6
org.jfree.chart.util.StringUtils,0,0,0,2,17,0,1
org.jfree.data.ComparableObjectItem,0,1,1,15,37,1,3
org.jfree.data.ComparableObjectSeries,0,5,9,17,25,3,3
org.jfree.data.DataUtils,0,6,14,7,73,2,5
org.jfree.data.DefaultKeyedValue,0,3,4,3,290,3,2
org.jfree.data.DefaultKeyedValues,0,10,12,6,286,3,4
org.jfree.data.DefaultKeyedValues2D,0,7,16,6,260,3,5
org.jfree.data.DomainOrder,0,0,0,13,338,0,7
org.jfree.data.KeyToGroupMap,0,2,2,5,235,2,3
org.jfree.data.KeyedObject,0,1,1,2,17,1,1
org.jfree.data.KeyedObjects,0,4,4,2,15,3,1
org.jfree.data.KeyedObjects2D,0,3,5,5,13,2,3
org.jfree.data.KeyedValueComparator,0,5,5,1,287,3,1
org.jfree.data.KeyedValueComparatorType,0,0,0,2,288,0,1
org.jfree.data.KeyedValues2DItemKey,0,2,2,2,94,2,1
org.jfree.data.KeyedValuesItemKey,0,2,2,0,0,2,0
org.jfree.data.Range,0,1,1,138,588,1,15
org.jfree.data.RangeType,0,0,0,3,102,0,2
org.jfree.data.UnknownKeyException,0,0,0,20,300,0,5
org.jfree.data.category.CategoryToPieDataset,0,12,13,2,45,5,2
org.jfree.data.category.DefaultCategoryDataset,0,6,22,35,252,4,12
org.jfree.data.category.DefaultIntervalCategoryDataset,0,7,26,3,3,4,3
org.jfree.data.category.SlidingCategoryDataset,0,6,10,1,1,4,1
org.jfree.data.flow.DefaultFlowDataset,0,7,11,1,1,4,1
org.jfree.data.flow.FlowDatasetUtils,0,4,8,1,2,2,1
org.jfree.data.flow.FlowKey,0,2,2,9,12,2,4
org.jfree.data.flow.NodeKey,0,2,2,7,11,2,3
org.jfree.data.function.LineFunction2D,0,2,2,2,2,2,2
org.jfree.data.function.NormalDistributionFunction2D,0,2,2,1,1,2,1
org.jfree.data.function.PolynomialFunction2D,0,4,4,1,1,2,1
org.jfree.data.function.PowerFunction2D,0,2,2,1,1,2,1
org.jfree.data.gantt.SlidingGanttCategoryDataset,0,7,12,1,1,5,1
org.jfree.data.gantt.Task,0,4,4,9,9,3,2
org.jfree.data.gantt.TaskSeries,0,4,10,7,7,3,2
org.jfree.data.gantt.TaskSeriesCollection,0,11,22,5,5,5,2
org.jfree.data.gantt.XYTaskDataset,0,10,27,1,1,5,1
org.jfree.data.general.AbstractDataset,0,4,4,51,342,1,10
org.jfree.data.general.AbstractSeriesDataset,0,4,8,7,287,1,4
org.jfree.data.general.DatasetChangeEvent,2,1,2,33,697,1,11
org.jfree.data.general.DatasetUtils,2,34,59,29,233,7,9
org.jfree.data.general.DefaultHeatMapDataset,0,4,20,1,1,3,1
org.jfree.data.general.DefaultKeyedValueDataset,0,6,11,1,1,2,1
org.jfree.data.general.DefaultKeyedValues2DDataset,0,2,24,1,1,2,1
org.jfree.data.general.DefaultKeyedValuesDataset,0,2,21,1,1,1,1
org.jfree.data.general.DefaultPieDataset,0,9,19,16,250,4,8
org.jfree.data.general.DefaultValueDataset,0,5,8,5,49,3,3
org.jfree.data.general.HeatMapUtils,0,6,62,0,0,4,0
org.jfree.data.general.Series,0,4,4,32,282,2,5
org.jfree.data.general.SeriesChangeEvent,0,0,0,14,315,0,5
org.jfree.data.general.SeriesException,0,0,0,7,270,0,4
org.jfree.data.general.WaferMapDataset,0,2,21,3,43,2,3
org.jfree.data.io.CSV,0,2,23,0,0,1,0
org.jfree.data.json.JSONUtils,0,4,10,0,0,3,0
org.jfree.data.json.impl.JSONArray,2,3,4,1,3,1,1
org.jfree.data.json.impl.JSONObject,2,3,4,1,3,1,1
org.jfree.data.json.impl.JSONValue,2,4,4,3,3,1,2
org.jfree.data.resources.DataPackageResources,0,0,0,0,0,0,0
org.jfree.data.resources.DataPackageResources_de,0,0,0,0,0,0,0
org.jfree.data.resources.DataPackageResources_es,0,0,0,0,0,0,0
org.jfree.data.resources.DataPackageResources_fr,0,0,0,0,0,0,0
org.jfree.data.resources.DataPackageResources_pl,0,0,0,0,0,0,0
org.jfree.data.resources.DataPackageResources_ru,0,0,0,0,0,0,0
org.jfree.data.statistics.BoxAndWhiskerCalculator,0,3,4,2,4,2,1
org.jfree.data.statistics.BoxAndWhiskerItem,0,0,0,10,10,0,4
org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,0,8,20,2,2,4,2
org.jfree.data.statistics.DefaultBoxAndWhiskerXYDataset,0,6,17,3,3,4,3
org.jfree.data.statistics.DefaultMultiValueCategoryDataset,0,7,17,3,3,5,3
org.jfree.data.statistics.DefaultStatisticalCategoryDataset,0,8,19,4,4,5,3
org.jfree.data.statistics.HistogramBin,0,0,0,2,3,0,1
org.jfree.data.statistics.HistogramDataset,0,8,18,1,1,5,1
org.jfree.data.statistics.HistogramType,0,0,0,1,2,0,1
org.jfree.data.statistics.MeanAndStandardDeviation,0,0,0,2,6,0,1
org.jfree.data.statistics.Regression,0,3,8,1,1,2,1
org.jfree.data.statistics.SimpleHistogramBin,0,1,1,3,3,1,1
org.jfree.data.statistics.SimpleHistogramDataset,0,10,18,1,1,6,1
org.jfree.data.statistics.Statistics,0,2,2,2,6,1,1
org.jfree.data.time.DateRange,0,1,2,4,46,1,2
org.jfree.data.time.Day,8,3,16,24,96,3,5
org.jfree.data.time.DynamicTimeSeriesCollection,1,14,34,1,1,4,1
org.jfree.data.time.DynamicTimeSeriesCollection.ValueSequence,1,1,34,1,1,1,1
org.jfree.data.time.FixedMillisecond,0,1,17,2,2,1,1
org.jfree.data.time.Hour,8,3,16,9,96,2,2
org.jfree.data.time.Millisecond,8,5,16,4,96,2,2
org.jfree.data.time.Minute,8,4,16,9,96,2,2
org.jfree.data.time.Month,8,5,16,8,96,2,2
org.jfree.data.time.MovingAverage,0,10,78,1,1,4,1
org.jfree.data.time.Quarter,8,5,16,3,96,2,2
org.jfree.data.time.RegularTimePeriod,8,11,16,39,96,2,6
org.jfree.data.time.Second,8,5,16,7,96,2,2
org.jfree.data.time.SimpleTimePeriod,0,1,1,7,13,1,3
org.jfree.data.time.TimePeriodAnchor,0,0,0,11,99,0,2
org.jfree.data.time.TimePeriodFormatException,0,0,0,7,97,0,1
org.jfree.data.time.TimePeriodValue,0,2,2,4,5,2,1
org.jfree.data.time.TimePeriodValues,0,5,8,3,3,3,1
org.jfree.data.time.TimePeriodValuesCollection,0,11,23,1,1,5,1
org.jfree.data.time.TimeSeries,0,8,25,9,11,4,4
org.jfree.data.time.TimeSeriesCollection,0,16,40,6,8,5,5
org.jfree.data.time.TimeSeriesDataItem,0,2,17,4,13,2,1
org.jfree.data.time.TimeSeriesTableModel,0,5,26,0,0,2,0
org.jfree.data.time.TimeTableXYDataset,0,13,48,1,1,6,1
org.jfree.data.time.Week,0,4,17,1,1,2,1
org.jfree.data.time.Year,8,2,16,21,96,1,3
org.jfree.data.time.ohlc.OHLC,0,1,1,2,7,1,1
org.jfree.data.time.ohlc.OHLCItem,0,3,20,3,5,3,1
org.jfree.data.time.ohlc.OHLCSeries,0,5,28,3,3,4,1
org.jfree.data.time.ohlc.OHLCSeriesCollection,0,13,39,1,1,6,1
org.jfree.data.xml.CategoryDatasetHandler,5,5,32,2,6,2,1
org.jfree.data.xml.CategorySeriesHandler,5,5,32,2,6,2,1
org.jfree.data.xml.DatasetReader,0,5,33,0,0,4,0
org.jfree.data.xml.ItemHandler,5,6,32,4,6,1,1
org.jfree.data.xml.KeyHandler,5,4,32,1,6,1,1
org.jfree.data.xml.PieDatasetHandler,5,5,32,2,6,2,1
org.jfree.data.xml.RootHandler,0,1,1,6,7,1,1
org.jfree.data.xml.ValueHandler,5,3,32,2,6,1,1
org.jfree.data.xy.AbstractIntervalXYDataset,0,2,13,17,258,1,3
org.jfree.data.xy.AbstractXYDataset,0,3,11,14,281,3,5
org.jfree.data.xy.AbstractXYZDataset,0,2,13,2,7,1,1
org.jfree.data.xy.CategoryTableXYDataset,0,10,60,1,1,4,1
org.jfree.data.xy.DefaultHighLowDataset,0,5,15,1,1,3,1
org.jfree.data.xy.DefaultIntervalXYDataset,0,7,16,4,4,4,3
org.jfree.data.xy.DefaultOHLCDataset,0,6,16,3,3,3,2
org.jfree.data.xy.DefaultTableXYDataset,0,14,60,12,15,5,4
org.jfree.data.xy.DefaultWindDataset,0,6,16,1,1,3,1
org.jfree.data.xy.DefaultXYDataset,0,8,14,9,9,5,6
org.jfree.data.xy.DefaultXYZDataset,0,8,16,4,4,5,2
org.jfree.data.xy.IntervalXYDelegate,2,10,59,4,233,5,1
org.jfree.data.xy.MatrixSeries,0,2,5,4,4,1,1
org.jfree.data.xy.MatrixSeriesCollection,0,8,19,1,1,4,1
org.jfree.data.xy.NormalizedMatrixSeries,0,1,6,0,0,1,0
org.jfree.data.xy.OHLCDataItem,0,1,1,5,5,1,2
org.jfree.data.xy.Vector,0,0,0,4,10,0,1
org.jfree.data.xy.VectorDataItem,0,3,4,3,5,2,1
org.jfree.data.xy.VectorSeries,0,4,13,3,3,3,1
org.jfree.data.xy.VectorSeriesCollection,0,11,24,1,1,5,1
org.jfree.data.xy.WindDataItem,0,0,0,1,2,0,1
org.jfree.data.xy.XIntervalDataItem,0,2,3,3,5,2,1
org.jfree.data.xy.XIntervalSeries,0,3,12,3,3,2,1
org.jfree.data.xy.XIntervalSeriesCollection,0,10,24,1,1,5,1
org.jfree.data.xy.XYBarDataset,0,9,15,3,3,3,3
org.jfree.data.xy.XYCoordinate,0,0,0,3,7,0,1
org.jfree.data.xy.XYDataItem,0,1,1,3,237,1,1
org.jfree.data.xy.XYDatasetTableModel,0,6,7,0,0,2,0
org.jfree.data.xy.XYInterval,0,0,0,2,9,0,1
org.jfree.data.xy.XYIntervalDataItem,0,2,3,2,7,2,1
org.jfree.data.xy.XYIntervalSeries,0,3,12,5,5,2,3
org.jfree.data.xy.XYIntervalSeriesCollection,0,9,24,3,3,5,3
org.jfree.data.xy.XYItemKey,0,2,2,1,133,2,1
org.jfree.data.xy.XYSeries,0,5,9,45,235,3,11
org.jfree.data.xy.XYSeriesCollection,2,15,59,35,233,5,10
org.jfree.data.xy.YInterval,0,0,0,2,9,0,1
org.jfree.data.xy.YIntervalDataItem,0,2,3,2,7,2,1
org.jfree.data.xy.YIntervalSeries,0,3,12,5,5,2,3
org.jfree.data.xy.YIntervalSeriesCollection,0,9,24,3,3,5,3
org.jfree.data.xy.YWithXInterval,0,0,0,2,7,0,1