Lines of code metrics,Wed., 19 Oct. 2022 19:46:22 EDT,
Class,CLOC,JLOC,LOC
org.jfree.chart.ChartColor,44,44,111
org.jfree.chart.ChartFactory,834,825,"1,741"
org.jfree.chart.ChartHints,16,15,22
org.jfree.chart.ChartHints.Key,17,17,34
org.jfree.chart.ChartRenderingInfo,99,99,184
org.jfree.chart.ChartTransferable,95,88,187
org.jfree.chart.ChartUtils,358,347,573
org.jfree.chart.JFreeChart,682,661,"1,401"
org.jfree.chart.StandardChartTheme,662,643,"1,547"
org.jfree.chart.annotations.AbstractAnnotation,95,95,152
org.jfree.chart.annotations.AbstractXYAnnotation,74,74,141
org.jfree.chart.annotations.CategoryLineAnnotation,157,155,329
org.jfree.chart.annotations.CategoryPointerAnnotation,208,205,418
org.jfree.chart.annotations.CategoryTextAnnotation,88,88,195
org.jfree.chart.annotations.TextAnnotation,141,139,263
org.jfree.chart.annotations.XYBoxAnnotation,131,130,285
org.jfree.chart.annotations.XYDataImageAnnotation,141,134,282
org.jfree.chart.annotations.XYDrawableAnnotation,93,88,220
org.jfree.chart.annotations.XYImageAnnotation,102,98,216
org.jfree.chart.annotations.XYLineAnnotation,116,114,271
org.jfree.chart.annotations.XYPointerAnnotation,207,206,432
org.jfree.chart.annotations.XYPolygonAnnotation,115,112,261
org.jfree.chart.annotations.XYShapeAnnotation,84,79,211
org.jfree.chart.annotations.XYTextAnnotation,266,265,521
org.jfree.chart.annotations.XYTitleAnnotation,111,111,298
org.jfree.chart.api.HorizontalAlignment,7,7,12
org.jfree.chart.api.Layer,5,5,9
org.jfree.chart.api.LengthAdjustmentType,7,7,12
org.jfree.chart.api.RectangleAlignment,21,21,98
org.jfree.chart.api.RectangleAnchor,30,30,120
org.jfree.chart.api.RectangleEdge,38,38,78
org.jfree.chart.api.RectangleInsets,211,211,452
org.jfree.chart.api.Rotation,21,21,32
org.jfree.chart.api.SortOrder,5,5,9
org.jfree.chart.api.TableOrder,5,5,9
org.jfree.chart.api.UnitType,5,5,9
org.jfree.chart.api.VerticalAlignment,7,7,12
org.jfree.chart.api.XYCoordinateType,12,12,17
org.jfree.chart.axis.Axis,710,706,"1,457"
org.jfree.chart.axis.AxisCollection,43,43,87
org.jfree.chart.axis.AxisLabelLocation,6,6,11
org.jfree.chart.axis.AxisLocation,20,20,44
org.jfree.chart.axis.AxisSpace,118,118,301
org.jfree.chart.axis.AxisState,74,74,135
org.jfree.chart.axis.CategoryAnchor,7,7,12
org.jfree.chart.axis.CategoryAxis,535,523,"1,225"
org.jfree.chart.axis.CategoryLabelPosition,95,93,188
org.jfree.chart.axis.CategoryLabelPositions,134,114,324
org.jfree.chart.axis.CategoryLabelWidthType,5,5,9
org.jfree.chart.axis.CategoryTick,42,42,92
org.jfree.chart.axis.CompassFormat,56,56,99
org.jfree.chart.axis.CyclicNumberAxis,343,337,962
org.jfree.chart.axis.CyclicNumberAxis.CycleBoundTick,17,17,26
org.jfree.chart.axis.DateAxis,498,454,"1,487"
org.jfree.chart.axis.DateAxis.DefaultTimeline,67,67,110
org.jfree.chart.axis.DateTick,42,42,79
org.jfree.chart.axis.DateTickMarkPosition,7,7,12
org.jfree.chart.axis.DateTickUnit,142,134,274
org.jfree.chart.axis.DateTickUnitType,21,21,37
org.jfree.chart.axis.ExtendedCategoryAxis,89,89,177
org.jfree.chart.axis.LogAxis,368,343,906
org.jfree.chart.axis.LogTick,19,19,30
org.jfree.chart.axis.LogarithmicAxis,418,247,902
org.jfree.chart.axis.MarkerAxisBand,63,63,186
org.jfree.chart.axis.ModuloAxis,152,148,358
org.jfree.chart.axis.MonthDateFormat,97,94,181
org.jfree.chart.axis.NumberAxis,394,370,965
org.jfree.chart.axis.NumberTick,30,30,47
org.jfree.chart.axis.NumberTickUnit,49,49,100
org.jfree.chart.axis.NumberTickUnitSource,22,20,174
org.jfree.chart.axis.PeriodAxis,394,375,"1,024"
org.jfree.chart.axis.PeriodAxisLabelInfo,127,126,266
org.jfree.chart.axis.QuarterDateFormat,61,58,130
org.jfree.chart.axis.StandardTickUnitSource,45,45,81
org.jfree.chart.axis.SubCategoryAxis,130,125,344
org.jfree.chart.axis.SymbolAxis,227,214,619
org.jfree.chart.axis.Tick,57,57,117
org.jfree.chart.axis.TickType,5,5,9
org.jfree.chart.axis.TickUnit,68,68,130
org.jfree.chart.axis.TickUnits,69,69,135
org.jfree.chart.axis.ValueAxis,717,706,"1,462"
org.jfree.chart.axis.ValueTick,46,46,86
org.jfree.chart.block.AbstractBlock,291,288,536
org.jfree.chart.block.BlockBorder,78,76,166
org.jfree.chart.block.BlockContainer,93,91,207
org.jfree.chart.block.BlockParams,56,56,85
org.jfree.chart.block.BlockResult,18,18,31
org.jfree.chart.block.BorderArrangement,95,94,469
org.jfree.chart.block.CenterArrangement,126,116,260
org.jfree.chart.block.ColorBlock,68,68,129
org.jfree.chart.block.ColumnArrangement,115,102,313
org.jfree.chart.block.EmptyBlock,43,43,71
org.jfree.chart.block.FlowArrangement,143,128,368
org.jfree.chart.block.GridArrangement,131,121,368
org.jfree.chart.block.LabelBlock,169,168,326
org.jfree.chart.block.LengthConstraintType,6,6,11
org.jfree.chart.block.LineBorder,61,60,161
org.jfree.chart.block.RectangleConstraint,136,136,282
org.jfree.chart.block.Size2D,63,63,119
org.jfree.chart.date.SerialDate,466,456,815
org.jfree.chart.date.SpreadsheetDate,195,188,367
org.jfree.chart.encoders.EncoderUtil,85,85,134
org.jfree.chart.encoders.ImageEncoderFactory,47,47,96
org.jfree.chart.encoders.SunJPEGEncoderAdapter,62,61,109
org.jfree.chart.encoders.SunPNGEncoderAdapter,46,44,75
org.jfree.chart.entity.AxisEntity,77,74,146
org.jfree.chart.entity.CategoryItemEntity,74,74,133
org.jfree.chart.entity.CategoryLabelEntity,37,37,77
org.jfree.chart.entity.ChartEntity,153,147,319
org.jfree.chart.entity.FlowEntity,31,31,63
org.jfree.chart.entity.JFreeChartEntity,76,73,145
org.jfree.chart.entity.LegendItemEntity,63,63,114
org.jfree.chart.entity.NodeEntity,30,30,48
org.jfree.chart.entity.PieSectionEntity,94,94,169
org.jfree.chart.entity.PlotEntity,76,73,145
org.jfree.chart.entity.StandardEntityCollection,69,69,145
org.jfree.chart.entity.TickLabelEntity,12,12,19
org.jfree.chart.entity.TitleEntity,76,73,145
org.jfree.chart.entity.XYAnnotationEntity,31,31,63
org.jfree.chart.entity.XYItemEntity,61,61,114
org.jfree.chart.event.AnnotationChangeEvent,17,17,28
org.jfree.chart.event.AxisChangeEvent,16,15,25
org.jfree.chart.event.ChartChangeEvent,46,46,76
org.jfree.chart.event.ChartChangeEventType,6,6,11
org.jfree.chart.event.ChartProgressEvent,45,45,77
org.jfree.chart.event.ChartProgressEventType,5,5,9
org.jfree.chart.event.MarkerChangeEvent,17,16,26
org.jfree.chart.event.PlotChangeEvent,17,17,27
org.jfree.chart.event.RendererChangeEvent,33,33,51
org.jfree.chart.event.TitleChangeEvent,14,14,24
org.jfree.chart.imagemap.DynamicDriveToolTipTagFragmentGenerator,24,24,43
org.jfree.chart.imagemap.ImageMapUtils,80,79,195
org.jfree.chart.imagemap.OverLIBToolTipTagFragmentGenerator,14,14,26
org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,13,13,24
org.jfree.chart.imagemap.StandardURLTagFragmentGenerator,14,13,24
org.jfree.chart.internal.Args,45,45,78
org.jfree.chart.internal.ArrayUtils,48,47,152
org.jfree.chart.internal.CloneUtils,50,50,130
org.jfree.chart.internal.HashUtils,92,88,153
org.jfree.chart.internal.LineUtils,33,24,113
org.jfree.chart.internal.PaintUtils,50,42,157
org.jfree.chart.internal.SerialUtils,187,168,575
org.jfree.chart.internal.ShapeUtils,193,191,447
org.jfree.chart.labels.AbstractCategoryItemLabelGenerator,116,116,240
org.jfree.chart.labels.AbstractPieItemLabelGenerator,75,75,170
org.jfree.chart.labels.AbstractXYItemLabelGenerator,125,125,270
org.jfree.chart.labels.BoxAndWhiskerToolTipGenerator,46,46,91
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator,50,50,99
org.jfree.chart.labels.BubbleXYItemLabelGenerator,92,92,195
org.jfree.chart.labels.CustomXYToolTipGenerator,57,57,128
org.jfree.chart.labels.HighLowItemLabelGenerator,58,57,154
org.jfree.chart.labels.IntervalCategoryItemLabelGenerator,33,33,80
org.jfree.chart.labels.IntervalCategoryToolTipGenerator,42,41,101
org.jfree.chart.labels.IntervalXYItemLabelGenerator,84,84,203
org.jfree.chart.labels.IntervalXYToolTipGenerator,84,84,199
org.jfree.chart.labels.ItemLabelAnchor,29,29,56
org.jfree.chart.labels.ItemLabelPosition,59,59,130
org.jfree.chart.labels.MultipleXYSeriesLabelGenerator,65,65,166
org.jfree.chart.labels.StandardCategoryItemLabelGenerator,51,51,92
org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,52,52,102
org.jfree.chart.labels.StandardCategoryToolTipGenerator,41,41,79
org.jfree.chart.labels.StandardCrosshairLabelGenerator,45,45,96
org.jfree.chart.labels.StandardFlowLabelGenerator,33,33,73
org.jfree.chart.labels.StandardPieSectionLabelGenerator,110,110,182
org.jfree.chart.labels.StandardPieToolTipGenerator,56,56,87
org.jfree.chart.labels.StandardXYItemLabelGenerator,80,80,132
org.jfree.chart.labels.StandardXYSeriesLabelGenerator,58,58,109
org.jfree.chart.labels.StandardXYToolTipGenerator,80,80,133
org.jfree.chart.labels.StandardXYZToolTipGenerator,87,86,187
org.jfree.chart.labels.SymbolicXYItemLabelGenerator,52,51,112
org.jfree.chart.legend.LegendGraphic,315,315,623
org.jfree.chart.legend.LegendItem,501,476,919
org.jfree.chart.legend.LegendItemBlockContainer,66,65,122
org.jfree.chart.legend.LegendItemCollection,51,51,99
org.jfree.chart.legend.LegendRenderingOrder,5,5,9
org.jfree.chart.legend.LegendTitle,235,234,545
org.jfree.chart.legend.PaintScaleLegend,236,234,598
org.jfree.chart.plot.CategoryCrosshairState,58,58,119
org.jfree.chart.plot.CategoryMarker,70,70,129
org.jfree.chart.plot.CategoryPlot,"2,071","2,000","4,415"
org.jfree.chart.plot.CenterTextMode,6,6,11
org.jfree.chart.plot.CombinedDomainCategoryPlot,220,201,555
org.jfree.chart.plot.CombinedDomainXYPlot,260,233,626
org.jfree.chart.plot.CombinedRangeCategoryPlot,174,155,456
org.jfree.chart.plot.CombinedRangeXYPlot,237,213,583
org.jfree.chart.plot.Crosshair,342,340,618
org.jfree.chart.plot.CrosshairState,180,179,287
org.jfree.chart.plot.DatasetRenderingOrder,13,13,17
org.jfree.chart.plot.DefaultDrawingSupplier,152,142,410
org.jfree.chart.plot.DialShape,7,7,12
org.jfree.chart.plot.FastScatterPlot,431,410,904
org.jfree.chart.plot.IntervalMarker,80,80,152
org.jfree.chart.plot.Marker,300,300,546
org.jfree.chart.plot.MeterInterval,74,74,149
org.jfree.chart.plot.MeterPlot,481,470,"1,085"
org.jfree.chart.plot.Plot,626,608,"1,223"
org.jfree.chart.plot.PlotOrientation,19,19,29
org.jfree.chart.plot.PlotRenderingInfo,112,112,215
org.jfree.chart.plot.PlotState,12,12,21
org.jfree.chart.plot.PolarAxisLocation,11,11,21
org.jfree.chart.plot.PolarPlot,818,784,"1,748"
org.jfree.chart.plot.RingPlot,267,260,569
org.jfree.chart.plot.SeriesRenderingOrder,12,12,16
org.jfree.chart.plot.SpiderWebPlot,567,532,"1,216"
org.jfree.chart.plot.ThermometerPlot,644,621,"1,367"
org.jfree.chart.plot.ValueMarker,57,57,96
org.jfree.chart.plot.WaferMapPlot,120,100,331
org.jfree.chart.plot.XYCrosshairState,7,7,11
org.jfree.chart.plot.XYPlot,"2,210","2,126","4,893"
org.jfree.chart.plot.compass.ArrowNeedle,42,42,111
org.jfree.chart.plot.compass.CompassPlot,300,287,707
org.jfree.chart.plot.compass.LineNeedle,33,32,67
org.jfree.chart.plot.compass.LongNeedle,38,35,118
org.jfree.chart.plot.compass.MeterNeedle,160,160,320
org.jfree.chart.plot.compass.MiddlePinNeedle,35,32,88
org.jfree.chart.plot.compass.PinNeedle,35,32,86
org.jfree.chart.plot.compass.PlumNeedle,33,32,77
org.jfree.chart.plot.compass.PointerNeedle,34,33,98
org.jfree.chart.plot.compass.ShipNeedle,34,33,76
org.jfree.chart.plot.compass.WindNeedle,29,28,68
org.jfree.chart.plot.dial.AbstractDialLayer,84,83,150
org.jfree.chart.plot.dial.ArcDialFrame,204,204,411
org.jfree.chart.plot.dial.DialBackground,107,107,190
org.jfree.chart.plot.dial.DialCap,139,139,253
org.jfree.chart.plot.dial.DialLayerChangeEvent,15,15,25
org.jfree.chart.plot.dial.DialPlot,344,336,695
org.jfree.chart.plot.dial.DialPointer,72,72,129
org.jfree.chart.plot.dial.DialPointer.Pin,79,79,160
org.jfree.chart.plot.dial.DialPointer.Pointer,97,97,218
org.jfree.chart.plot.dial.DialTextAnnotation,167,166,307
org.jfree.chart.plot.dial.DialValueIndicator,328,318,626
org.jfree.chart.plot.dial.StandardDialFrame,138,138,268
org.jfree.chart.plot.dial.StandardDialRange,175,175,340
org.jfree.chart.plot.dial.StandardDialScale,466,447,860
org.jfree.chart.plot.flow.FlowPlot,265,249,684
org.jfree.chart.plot.pie.AbstractPieLabelDistributor,37,37,57
org.jfree.chart.plot.pie.MultiplePiePlot,185,169,499
org.jfree.chart.plot.pie.PieLabelDistributor,58,56,161
org.jfree.chart.plot.pie.PieLabelLinkStyle,7,7,12
org.jfree.chart.plot.pie.PieLabelRecord,104,104,215
org.jfree.chart.plot.pie.PiePlot,"1,333","1,286","2,845"
org.jfree.chart.plot.pie.PiePlotState,123,123,200
org.jfree.chart.renderer.AbstractRenderer,"1,504","1,440","2,698"
org.jfree.chart.renderer.AreaRendererEndType,12,12,17
org.jfree.chart.renderer.DefaultPolarItemRenderer,317,304,763
org.jfree.chart.renderer.GrayPaintScale,86,84,162
org.jfree.chart.renderer.LookupPaintScale,89,86,207
org.jfree.chart.renderer.LookupPaintScale.PaintItem,41,41,89
org.jfree.chart.renderer.NotOutlierException,9,9,14
org.jfree.chart.renderer.Outlier,82,82,150
org.jfree.chart.renderer.OutlierList,71,71,116
org.jfree.chart.renderer.OutlierListCollection,72,72,117
org.jfree.chart.renderer.RendererState,37,37,64
org.jfree.chart.renderer.RendererUtils,59,40,208
org.jfree.chart.renderer.WaferMapRenderer,110,101,293
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,582,571,"1,449"
org.jfree.chart.renderer.category.AreaRenderer,71,65,243
org.jfree.chart.renderer.category.BarRenderer,485,457,"1,126"
org.jfree.chart.renderer.category.BoxAndWhiskerRenderer,377,339,933
org.jfree.chart.renderer.category.CategoryItemRendererState,87,87,147
org.jfree.chart.renderer.category.CategoryStepRenderer,105,92,250
org.jfree.chart.renderer.category.CategoryStepRenderer.State,13,13,20
org.jfree.chart.renderer.category.DefaultCategoryItemRenderer,6,5,10
org.jfree.chart.renderer.category.GanttRenderer,170,159,497
org.jfree.chart.renderer.category.GradientBarPainter,91,85,294
org.jfree.chart.renderer.category.GroupedStackedBarRenderer,79,75,279
org.jfree.chart.renderer.category.IntervalBarRenderer,66,58,170
org.jfree.chart.renderer.category.LayeredBarRenderer,111,84,373
